단위중량(kg),투입중량(kg),염색길이(m),투입중량/길이,투입중량/액량,공정진행시간(%),진행온도,포속1,포속3,포속4,염색색차 DE
460.0,112.4,24.0,4.683333333333334,0.0562,51.02,119.5,17,76,148,1.113164
460.0,190.0,14.0,13.571428571428571,0.095,54.46,69.0,12,98,93,2.184558
560.0,288.2,373.0,0.7726541554959785,0.07205,63.16,80.8,0,1,90,0.7729153
460.0,51.5,36.0,1.4305555555555556,0.0515,74.63,105.2,69,68,172,0.8660321
450.0,41.0,83.0,0.4939759036144578,0.0683333333333333,69.12,107.0,49,0,0,2.425779
450.0,124.8,227.0,0.5497797356828193,0.0624,16.63,106.3,74,75,46,3.592049
800.0,50.0,67.0,0.746268656716418,0.0833333333333333,65.81,82.6,417,0,0,0.7474369
320.0,162.0,500.0,0.324,0.081,98.47,30.5,129,120,125,1.815297
146.0,187.4,1600.0,0.117125,0.04685,98.17,34.3,137,139,136,0.3946269
450.0,124.8,227.0,0.5497797356828193,0.0624,7.23,64.4,74,74,16,3.592049
235.0,19.8,33.0,0.6,0.033,19.84,85.8,41,0,0,1.645152
324.0,38.0,19.0,2.0,0.038,2.07,27.0,69,58,1,0.8450533
604.0,310.4,600.0,0.5173333333333333,0.0775999999999999,47.64,131.6,69,77,77,0.6295673
536.0,168.4,16.0,10.525,0.0842,67.96,77.1,96,91,153,2.792194
146.0,188.4,1600.0,0.11775,0.0471,84.91,82.2,91,19,129,0.5068955
460.0,155.6,33.0,4.715151515151515,0.0778,83.15,98.2,30,92,306,1.013855
314.0,44.6,35.0,1.2742857142857142,0.0743333333333333,99.56,29.3,77,0,0,0.5272802
625.0,220.3,201.0,1.0960199004975124,0.11015,88.75,79.5,109,102,145,0.9501897
146.0,187.4,1600.0,0.117125,0.04685,27.11,68.9,127,123,32,0.3946269
460.0,155.6,33.0,4.715151515151515,0.0778,86.7,129.7,81,93,315,1.013855
460.0,48.0,3.0,16.0,0.048,34.74,106.9,66,65,48,1.644801
320.0,162.0,500.0,0.324,0.081,73.56,104.5,31,140,90,1.815297
350.0,35.0,87.0,0.4022988505747126,0.0583333333333333,91.2,40.2,48,0,0,3.341123
495.0,43.6,2.0,21.8,0.0726666666666666,90.03,69.2,50,0,0,1.600976
320.0,197.6,601.0,0.3287853577371048,0.0988,49.09,69.2,124,139,57,2.601036
146.0,187.4,1600.0,0.117125,0.04685,82.05,83.0,82,86,117,0.3946269
485.0,113.0,267.0,0.4232209737827715,0.0565,9.42,48.5,80,77,8,5.026582
536.0,184.9,84.0,2.2011904761904764,0.09245,2.33,30.0,107,116,2,1.057401
560.0,63.6,10.0,6.36,0.0636,22.49,117.1,25,23,237,1.315164
320.0,158.6,90.0,1.762222222222222,0.0793,26.14,115.5,58,129,57,0.6491697
314.0,98.8,300.0,0.3293333333333333,0.0494,52.19,119.8,31,68,82,0.5957398
505.0,152.2,3.0,50.73333333333333,0.0761,35.69,129.9,90,90,56,0.7943481
400.0,143.6,37.0,3.881081081081081,0.0718,85.62,57.9,74,101,59,0.6883717
460.0,40.0,3.0,13.333333333333334,0.0666666666666666,15.0,63.6,88,0,0,1.130695
320.0,122.7,77.0,1.5935064935064935,0.06135,17.28,105.4,89,92,37,1.593427
190.0,85.6,401.0,0.2134663341645885,0.0214,81.58,86.4,74,80,151,1.655061
460.0,51.5,36.0,1.4305555555555556,0.0515,48.26,67.9,70,347,106,0.8660321
604.0,310.4,600.0,0.5173333333333333,0.0775999999999999,20.28,70.8,70,72,29,0.6295673
552.0,219.4,6.0,36.56666666666667,0.1097,44.39,99.4,28,108,113,1.562582
560.0,288.2,373.0,0.7726541554959785,0.07205,76.08,70.0,83,83,109,0.7729153
560.0,199.5,111.0,1.7972972972972974,0.09975,18.92,80.9,12,115,15,3.457263
